model,L,AIC,AICc,BIC,N,p
mtREV+IO,-90066.727948,182001.455896,1928581.455896,185926.624069,934,0.0
mtREV+G8+FO,-80653.607342,163213.214683,1981537.214683,167218.231031,953,0.0
mtREV+FC+IC,-86539.740616,174985.481232,1993309.481232,178990.49758,953,0.0
mtREV+FC+IO,-86537.842354,174981.684708,1993305.684708,178986.701056,953,0.0
mtREV+FO,-86665.933905,175235.86781,1989747.86781,179236.681623,952,0.0
mtREV+FO+IC,-85716.28528,173338.57056,1991662.57056,177343.586908,953,0.0
mtREV+FO+IO,-85714.372115,173334.744231,1991658.744231,177339.760578,953,0.0
mtREV+G8,-83372.593077,168613.186154,1915193.186154,172538.354327,934,0.0
mtREV+G8+IC,-83374.296236,168618.592472,1918938.592472,172547.96318,935,0.0
mtREV+G8+IO,-83361.743086,168593.486172,1918913.486172,172522.856881,935,0.0
mtREV+G8+FC,-81361.67984,164629.35968,1982953.35968,168634.376028,953,0.0
mtREV+G8+FC+IC,-81368.421979,164644.843958,1986784.843958,168654.062841,954,0.0
mtREV+G8+FC+IO,-81360.888068,164629.776137,1986769.776137,168638.99502,954,0.0
mtREV+FC,-87484.856658,176873.713316,1991385.713316,180874.527128,952,0.0
