model,L,AIC,AICc,BIC,N,p
mtREV+G8+FO,-80766.573079,163443.146159,1989403.146159,167456.567577,955,0.0
mtREV+FC+IC,-86678.684185,175267.36837,2001227.36837,179280.789789,955,0.0
mtREV+FC+IO,-86676.780833,175263.561666,2001223.561666,179276.983085,955,0.0
mtREV+FO,-86810.275458,175528.550916,1997668.550916,179537.769799,954,0.0
mtREV+FO+IC,-85856.847425,173623.694851,1999583.694851,177637.11627,955,0.0
mtREV+FO+IO,-85854.932705,173619.865409,1999579.865409,177633.286828,955,0.0
mtREV+G8,-83517.594893,168907.189786,1922971.189786,172840.763031,936,0.0
mtREV+G8+IC,-83517.715308,168909.430615,1926721.430615,172847.206395,937,0.0
mtREV+G8+IO,-83507.869843,168889.739686,1926701.739686,172827.515465,937,0.0
mtREV+G8+FC,-81468.308581,164846.617162,1990806.617162,168860.038581,955,0.0
mtREV+G8+FC+IC,-81479.034898,164870.069796,1994654.069796,168887.69375,956,0.0
mtREV+G8+FC+IO,-81471.818872,164855.637745,1994639.637745,168873.261699,956,0.0
mtREV+FC,-87626.660731,177161.321463,1999301.321463,181170.540346,954,0.0
