model,L,AIC,AICc,BIC,N,p
mtREV+FC+IO,-182569.889227,367085.778454,2262489.778454,371782.006956,973,0.0
mtREV+FO,-181976.573018,365897.146036,2257409.146036,370588.547993,972,0.0
mtREV+FO+IC,-180429.869313,362805.738625,2258209.738625,367501.967128,973,0.0
mtREV+FO+IO,-180396.650809,362739.301617,2258143.301617,367435.53012,973,0.0
mtREV+G8,-172648.487407,347204.974814,2169344.974814,351809.498957,954,0.0
mtREV+G8+IC,-172684.473542,347278.947085,2173238.947085,351888.297773,955,0.0
mtREV+G8+IO,-172633.67847,347177.356939,2173137.356939,351786.707628,955,0.0
mtREV+G8+FC,-168089.665472,338125.330944,2233529.330944,342821.559447,973,0.0
mtREV+G8+FC+IC,-168133.1375,338214.274999,2237514.274999,342915.330047,974,0.0
mtREV+G8+FO,-166482.338569,334910.677138,2230314.677138,339606.905641,973,0.0
mtREV+FC+IC,-182603.196,367152.392,2262556.392,371848.620503,973,0.0
