model,L,AIC,AICc,BIC,N,p
JTT+IO,-176854.980875,355617.96175,2177757.96175,360222.485893,954,0.0
JTT+FC,-178789.692704,359523.385409,2251035.385409,364214.787366,972,0.0
JTT+FC+IC,-176903.515883,355753.031766,2251157.031766,360449.260268,973,0.0
JTT+FC+IO,-176871.405343,355688.810685,2251092.810685,360385.039188,973,0.0
JTT+FO,-178459.811836,358863.623672,2250375.623672,363555.025629,972,0.0
JTT+FO+IC,-176574.926391,355095.852782,2250499.852782,359792.081284,973,0.0
JTT+FO+IO,-176542.864678,355031.729357,2250435.729357,359727.957859,973,0.0
JTT+G8+IC,-163758.067476,329426.134951,2155386.134951,334035.48564,955,0.0
JTT+G8+IO,-163717.888608,329345.777217,2155305.777217,333955.127905,955,0.0
JTT+G8+FC,-163917.443827,329780.887654,2225184.887654,334477.116156,973,0.0
JTT+IC,-176887.127243,355682.254486,2177822.254486,360286.778629,954,0.0
cpREV+FO,-179799.321196,361542.642392,2253054.642392,366234.044349,972,0.0
cpREV+FO+IC,-178229.592728,358405.185456,2253809.185456,363101.413958,973,0.0
cpREV+FO+IO,-178197.107248,358340.214496,2253744.214496,363036.442998,973,0.0
cpREV+G8,-166917.573178,335743.146357,2157883.146357,340347.6705,954,0.0
cpREV+G8+IC,-166939.989717,335789.979434,2161749.979434,340399.330122,955,0.0
cpREV+G8+IO,-166897.545076,335705.090153,2161665.090153,340314.440841,955,0.0
cpREV+G8+FC,-167361.50333,336669.006661,2232073.006661,341365.235163,973,0.0
cpREV+G8+FC+IC,-167391.311147,336730.622293,2236030.622293,341431.677341,974,0.0
cpREV+G8+FC+IO,-167346.30408,336640.60816,2235940.60816,341341.663208,974,0.0
FLU+IO,-184317.348085,370542.69617,2192682.69617,375147.220313,954,0.0
DCMut,-180468.158919,362842.317838,2181166.317838,367442.015436,953,0.0
DCMut+IC,-178559.325423,359026.650845,2181166.650845,363631.174988,954,0.0
DCMut+IO,-178527.029803,358962.059607,2181102.059607,363566.58375,954,0.0
DCMut+FC,-180485.930147,362915.860294,2254427.860294,367607.262251,972,0.0
DCMut+FC+IC,-178566.081692,359078.163383,2254482.163383,363774.391886,973,0.0
DCMut+FO,-179534.593924,361013.187849,2252525.187849,365704.589806,972,0.0
DCMut+FO+IC,-177668.044808,357282.089615,2252686.089615,361978.318118,973,0.0
DCMut+FO+IO,-177635.648462,357217.296924,2252621.296924,361913.525426,973,0.0
DCMut+G8,-165765.044737,333438.089475,2155578.089475,338042.613618,954,0.0
DCMut+G8+IC,-165796.443015,333502.886029,2159462.886029,338112.236718,955,0.0
Dayhoff+G8+FO+IO,-164686.606473,331321.212945,2230621.212945,336022.267993,974,0.0
WAG+IC,-177579.53197,357067.063941,2179207.063941,361671.588084,954,0.0
WAG+IO,-177547.215181,357002.430362,2179142.430362,361606.954506,954,0.0
WAG+FC,-179751.352676,361446.705352,2252958.705352,366138.10731,972,0.0
WAG+FC+IC,-177889.866056,357725.732112,2253129.732112,362421.960615,973,0.0
WAG+FC+IO,-177857.51414,357661.02828,2253065.02828,362357.256783,973,0.0
WAG+FO,-178670.4145,359284.829,2250796.829,363976.230957,972,0.0
WAG+FO+IC,-176842.907802,355631.815605,2251035.815605,360328.044107,973,0.0
WAG+FO+IO,-176810.612474,355567.224948,2250971.224948,360263.45345,973,0.0
WAG+G8,-165086.549551,332081.099102,2154221.099102,336685.623245,954,0.0
cpREV+FC+IO,-179975.476258,361896.952516,2257300.952516,366593.181018,973,0.0
WAG+G8+IO,-165069.510946,332049.021893,2158009.021893,336658.372581,955,0.0
WAG+G8+FC,-165393.4226,332732.8452,2228136.8452,337429.073702,973,0.0
WAG+G8+FC+IC,-165414.602459,332777.204917,2232077.204917,337478.259965,974,0.0
WAG+G8+FC+IO,-165374.423712,332696.847423,2231996.847423,337397.902471,974,0.0
cpREV+G8+FO,-165573.54988,333093.09976,2228497.09976,337789.328262,973,0.0
cpREV+G8+FO+IC,-165604.327537,333156.655074,2232456.655074,337857.710121,974,0.0
cpREV+IC,-179922.777852,361753.555704,2183893.555704,366358.079847,954,0.0
cpREV+IO,-179890.234546,361688.469093,2183828.469093,366292.993236,954,0.0
cpREV+FC,-181667.58553,365279.17106,2256791.17106,369970.573017,972,0.0
cpREV+FC+IC,-180007.889758,361961.779517,2257365.779517,366658.008019,973,0.0
WAG+G8+IC,-165106.506257,332123.012514,2158083.012514,336732.363202,955,0.0
DEN+G8+FO+IC,-163999.859641,329947.719282,2229247.719282,334648.77433,974,0.0
DEN+G8+FO+IO,-163960.918789,329869.837577,2229169.837577,334570.892625,974,0.0
Blosum62,-181659.509718,365225.019436,2183549.019436,369824.717034,953,0.0
Blosum62+IO,-179775.39227,361458.784539,2183598.784539,366063.308682,954,0.0
Blosum62+FC+IC,-179879.184818,361704.369636,2257108.369636,366400.598139,973,0.0
Blosum62+FC+IO,-179846.896676,361639.793353,2257043.793353,366336.021855,973,0.0
Blosum62+FO,-180419.446877,362782.893754,2254294.893754,367474.295711,972,0.0
Blosum62+FO+IC,-178575.346638,359096.693276,2254500.693276,363792.921778,973,0.0
Blosum62+FO+IO,-178543.049534,359032.099068,2254436.099068,363728.327571,973,0.0
DCMut+G8+IO,-165751.674473,333413.348947,2159373.348947,338022.699635,955,0.0
Blosum62+G8+IC,-167021.273482,335952.546963,2161912.546963,340561.897652,955,0.0
Blosum62+G8+IO,-166985.018617,335880.037235,2161840.037235,340489.387923,955,0.0
Blosum62+G8+FC,-167381.951342,336709.902684,2232113.902684,341406.131186,973,0.0
